[nltk_data] Downloading package stopwords to
[nltk_data]     C:\Users\monne\AppData\Roaming\nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
--------------------------------------
Le texte comporte 71616 mot(s) 
--------------------------------------
Le texte comporte 7337 mot(s) unique(s) 
--------------------------------------
Le mot son a 1016 occurrence(s)
Le mot trojans a 555 occurrence(s)
Le mot achaeans a 540 occurrence(s)
Le mot upon a 535 occurrence(s)
Le mot hector a 480 occurrence(s)
Le mot one a 470 occurrence(s)
Le mot jove a 468 occurrence(s)
Le mot ships a 450 occurrence(s)
Le mot man a 437 occurrence(s)
Le mot achilles a 423 occurrence(s)
Le mot said a 410 occurrence(s)
Le mot would a 403 occurrence(s)
Le mot spear a 389 occurrence(s)
Le mot men a 382 occurrence(s)
Le mot shall a 362 occurrence(s)
Le mot fight a 335 occurrence(s)
Le mot even a 332 occurrence(s)
Le mot let a 329 occurrence(s)
Le mot went a 327 occurrence(s)
Le mot may a 315 occurrence(s)
Le mot thus a 307 occurrence(s)
Le mot us a 303 occurrence(s)
Le mot great a 291 occurrence(s)
Le mot among a 286 occurrence(s)
Le mot two a 283 occurrence(s)
Le mot go a 283 occurrence(s)
Le mot horses a 279 occurrence(s)
Le mot hand a 278 occurrence(s)
Le mot back a 276 occurrence(s)
Le mot came a 272 occurrence(s)
Le mot come a 268 occurrence(s)
Le mot take a 244 occurrence(s)
Le mot gods a 243 occurrence(s)
Le mot battle a 241 occurrence(s)
Le mot though a 220 occurrence(s)
Le mot city a 219 occurrence(s)
Le mot made a 218 occurrence(s)
Le mot took a 217 occurrence(s)
Le mot armour a 217 occurrence(s)
Le mot therefore a 212 occurrence(s)
Le mot round a 210 occurrence(s)
Le mot many a 209 occurrence(s)
Le mot father a 207 occurrence(s)
Le mot body a 204 occurrence(s)
Le mot agamemnon a 194 occurrence(s)
Le mot hands a 186 occurrence(s)
Le mot ground a 186 occurrence(s)
Le mot fell a 184 occurrence(s)
Le mot priam a 184 occurrence(s)
Le mot could a 184 occurrence(s)
Le mot king a 182 occurrence(s)
Le mot set a 176 occurrence(s)
Le mot ajax a 174 occurrence(s)
Le mot till a 173 occurrence(s)
Le mot patroclus a 172 occurrence(s)
Le mot see a 169 occurrence(s)
Le mot another a 166 occurrence(s)
Le mot spoke a 166 occurrence(s)
