Date;Time;DateTime;TTV;Thickness;SawGroove;SawEdge;SawStep;LastEmptying;OutSixSigma;WafersProduction;SiliciumType
01/01/2017;00:00;01/01/2017 00:00;30;250;120;1;0;01/01/2017;0;1000;Mono
01/01/2017;01:00;01/01/2017 01:00;30;251;121;0;0;01/01/2017;0;3000;Mono
01/01/2017;02:00;01/01/2017 02:00;30;251;120;0;0;01/01/2017;0;5000;Mono
01/01/2017;03:00;01/01/2017 03:00;31;251;119;2;0;01/01/2017;0;6000;Mono
01/01/2017;04:00;01/01/2017 04:00;32;251;124;1;0;01/01/2017;0;7000;Mono
01/01/2017;05:00;01/01/2017 05:00;33;251;129;0;0;01/01/2017;0;9000;Mono
01/01/2017;06:00;01/01/2017 06:00;34;251;127;0;0;01/01/2017;0;10000;Mono
01/01/2017;07:00;01/01/2017 07:00;36;251;126;0;0;01/01/2017;0;12000;Mono
01/01/2017;08:00;01/01/2017 08:00;38;251;124;0;0;01/01/2017;0;13000;Mono
01/01/2017;09:00;01/01/2017 09:00;40;251;125;0;0;01/01/2017;0;14000;Mono
01/01/2017;10:00;01/01/2017 10:00;42;251;123;0;0;01/01/2017;0;15000;Mono
01/01/2017;11:00;01/01/2017 11:00;45;251;119;0;0;01/01/2017;0;17000;Mono
01/01/2017;12:00;01/01/2017 12:00;48;251;118;0;0;01/01/2017;0;19000;Mono
01/01/2017;13:00;01/01/2017 13:00;51;251;121;2;0;01/01/2017;0;21000;Mono
01/01/2017;14:00;01/01/2017 14:00;54;251;118;3;0;01/01/2017;0;23000;Mono
01/01/2017;15:00;01/01/2017 15:00;58;251;115;4;0;01/01/2017;0;24000;Mono
01/01/2017;16:00;01/01/2017 16:00;62;251;124;5;0;01/01/2017;0;26000;Mono
01/01/2017;17:00;01/01/2017 17:00;66;251;123;6;0;01/01/2017;0;27000;Mono
01/01/2017;18:00;01/01/2017 18:00;70;251;121;7;0;01/01/2017;0;28000;Mono
01/01/2017;19:00;01/01/2017 19:00;75;251;112;8;0;01/01/2017;0;29000;Mono
01/01/2017;20:00;01/01/2017 20:00;80;251;114;7;0;01/01/2017;0;30000;Mono
01/01/2017;21:00;01/01/2017 21:00;85;251;117;6;0;01/01/2017;0;32000;Mono
01/01/2017;22:00;01/01/2017 22:00;90;251;121;5;0;01/01/2017;0;33000;Mono
01/01/2017;23:00;01/01/2017 23:00;96;251;120;4;0;01/01/2017;1;35000;Mono
02/01/2017;00:00;02/01/2017 00:00;102;251;125;3;0;01/01/2017;1;36000;Mono
02/01/2017;01:00;02/01/2017 01:00;31;252;122;2;0;02/01/2017;0;38000;Mono
02/01/2017;02:00;02/01/2017 02:00;31;252;122;1;0;02/01/2017;0;39000;Mono
02/01/2017;03:00;02/01/2017 03:00;32;252;126;2;0;02/01/2017;0;41000;Mono
02/01/2017;04:00;02/01/2017 04:00;33;252;126;3;0;02/01/2017;0;42000;Mono
02/01/2017;05:00;02/01/2017 05:00;34;252;122;4;0;02/01/2017;0;44000;Mono
02/01/2017;06:00;02/01/2017 06:00;35;252;122;5;0;02/01/2017;0;46000;Mono
02/01/2017;07:00;02/01/2017 07:00;37;252;120;6;0;02/01/2017;0;48000;Mono
02/01/2017;08:00;02/01/2017 08:00;39;252;122;5;0;02/01/2017;0;50000;Mono
02/01/2017;09:00;02/01/2017 09:00;41;252;115;4;0;02/01/2017;0;51000;Mono
02/01/2017;10:00;02/01/2017 10:00;43;252;119;3;0;02/01/2017;0;53000;Mono
02/01/2017;11:00;02/01/2017 11:00;46;252;121;2;0;02/01/2017;0;54000;Mono
02/01/2017;12:00;02/01/2017 12:00;49;252;125;1;0;02/01/2017;0;56000;Mono
02/01/2017;13:00;02/01/2017 13:00;52;252;130;0;0;02/01/2017;0;58000;Mono
02/01/2017;14:00;02/01/2017 14:00;55;252;129;2;0;02/01/2017;0;60000;Mono
02/01/2017;15:00;02/01/2017 15:00;59;252;125;3;0;02/01/2017;0;61000;Mono
02/01/2017;16:00;02/01/2017 16:00;63;252;119;4;0;02/01/2017;0;63000;Mono
02/01/2017;17:00;02/01/2017 17:00;67;252;111;5;0;02/01/2017;0;65000;Mono
02/01/2017;18:00;02/01/2017 18:00;71;252;104;6;0;02/01/2017;0;66000;Mono
02/01/2017;19:00;02/01/2017 19:00;76;252;100;7;0;02/01/2017;0;67000;Mono
02/01/2017;20:00;02/01/2017 20:00;81;252;105;8;0;02/01/2017;0;69000;Mono
02/01/2017;21:00;02/01/2017 21:00;86;252;111;7;0;02/01/2017;0;71000;Mono
02/01/2017;22:00;02/01/2017 22:00;91;252;118;6;0;02/01/2017;0;72000;Mono
02/01/2017;23:00;02/01/2017 23:00;97;252;114;5;0;02/01/2017;1;73000;Mono
03/01/2017;00:00;03/01/2017 00:00;103;252;113;4;0;02/01/2017;1;74000;Mono
