identifiant_dsp;code_postal;ville;field13;type_de_station;emplacement;nom_de_la_station;places_autolib;places_recharge_tiers;nombre_total_de_places
75120-35;75020;Paris;48.8518536, 2.3982137;Station;Voirie;Paris/Charonne/52;4;1;5
92023-13;92140;Clamart;48.7813871, 2.2271271;Station;Voirie;Clamart/Bourcillière/137;6;0;6
92032-08;92260;Fontenay-aux-Roses;48.78919, 2.293033;Station;Voirie;Fontenay-aux-Roses/Lombard/20;6;0;6
92036-13;92230;Gennevilliers;48.9269437, 2.3143339;Station;Voirie;Gennevilliers/Louis Roche/125;6;0;6
92040-13;92130;Issy-les-Moulineaux;48.8295855, 2.2836035;Station;Voirie;Issy-les-Moulineaux/Ernest Renan/9;6;0;6
92040-22;92130;Issy-les-Moulineaux;48.8167, 2.260423;Station;Voirie;Issy-les-Moulineaux/Égalité/57;6;0;6
92044-PG;92300;Levallois-Perret;48.8953575, 2.2922568;Station;Parking;Levallois-Perret/Pierre Brossolette/21;6;0;6
92044-PJ;92300;Levallois-Perret;48.8873092, 2.2844274;Station;Parking;Levallois-Perret/Louise Michel/8;6;0;6
92046-02;92240;Malakoff;48.8192396, 2.3040697;Station;Voirie;Malakoff/Gabriel Péri/120;6;0;6
92048-09;92190;Meudon;48.787686, 2.2277686;Station;Voirie;Meudon/De Gaulle/19;6;0;6
92050-04;92000;Nanterre;48.89231, 2.214089;Station;Voirie;Nanterre/Pablo Picasso/20;6;0;6
92062-06;92800;Puteaux;48.8761876, 2.2361346;Station;Voirie;Puteaux/Francis de Pressensé/12;6;0;6
92063-18;92500;Rueil-Malmaison;48.8871, 2.181057;Station;Voirie;Rueil-Malmaison/Colmar/17;6;0;6
93006-05;93170;Bagnolet;48.8611263, 2.4181508;Station;Voirie;Bagnolet/République/58;6;0;6
94044-02;94450;Limeil-Brévannes;48.73963, 2.490184;Station;Voirie;Limeil-Brévannes/Lavoisier/12;5;0;5
75120-38;75020;Paris;48.8495131, 2.4061582;Station;Voirie;Paris/Frédérique Loliée/5;4;1;5
92004-03;92600;Asnières-sur-Seine;48.9059332, 2.2852074;Station;Voirie;Asnières-sur-Seine/Normandie/22;6;1;7
92004-09;92600;Asnières-sur-Seine;48.9152642, 2.2767942;Station;Voirie;Asnières-sur-Seine/Henri Say/11;6;0;6
92012-08;92100;Boulogne-Billancourt;48.840169, 2.229398;Station;Voirie;Boulogne-Billancourt/André Morizet/121;6;0;6
92012-11;92100;Boulogne-Billancourt;48.83975, 2.2400622;Station;Voirie;Boulogne-Billancourt/Jean Jaurès/61;6;0;6
92012-13;92100;Boulogne-Billancourt;48.836581, 2.239424;Espace;Voirie;Boulogne-Billancourt/Gallieni/114;6;0;6
92019-04;92290;Châtenay-Malabry;48.7622887, 2.2838864;Station;Voirie;Châtenay-Malabry/Division Leclerc/81;6;0;6
92019-07;92290;Châtenay-Malabry;48.768495, 2.250599;Station;Voirie;Châtenay-Malabry/Cyrano de Bergerac/6;6;0;6
92022-03;92370;Chaville;48.80551, 2.184925;Station;Voirie;Chaville/Pavé des Gardes/33;6;0;6
92023-12;92140;Clamart;48.78468, 2.237137;Station;Voirie;Clamart/Porte de Trivaux/130;6;0;6
92063-12;92500;Rueil-Malmaison;48.8839089, 2.1919207;Station;Voirie;Rueil-Malmaison/Paul Doumer/3;6;0;6
92073-09;92150;Suresnes;48.8618708, 2.2133061;Station;Voirie;Suresnes/Tuilerie/33;6;0;6
92075-03;92170;Vanves;48.8169686, 2.2810709;Station;Voirie;Vanves/Larmeroux/12;5;0;5
92075-06;92170;Vanves;48.82101, 2.28876;Station;Voirie;Vanves/Antoine Fratacci/34;6;0;6
93006-06;93170;Bagnolet;48.87215, 2.43015;Station;Voirie;Bagnolet/Stalingrad/49;6;0;6
93006-07;93170;Bagnolet;48.85764, 2.415732;Station;Voirie;Bagnolet/Edouard Vaillant/60;6;0;6
93029-14;93700;Drancy;48.9216032, 2.4411713;Station;Voirie;Drancy/Roger Salengro/3;4;0;4
93055-12;93500;Pantin;48.90915, 2.398654;Station;Voirie;Pantin/Jean Jaurès/150;6;0;6
93055-14;93500;Pantin;48.8946957, 2.4254593;Station;Voirie;Pantin/Anatole France/1;6;0;6
93064-03;93110;Rosny-sous-Bois;48.876218, 2.475338;Station;Voirie;Rosny-sous-Bois/Rome/8;6;0;6
93064-06;93110;Rosny-sous-Bois;48.8798646, 2.4931178;Station;Voirie;Rosny-sous-Bois/Variot/40;6;0;6
93070-09;93400;Saint-Ouen;48.9018633, 2.3341342;Station;Voirie;Saint-Ouen/Édouard Vaillant/28;7;0;7
93070-11;93400;Saint-Ouen;48.9102315, 2.3441112;Station;Voirie;Saint-Ouen/Michelet/42;5;1;6
